0 1818.1818
0 1170.2128
0 1081.0811
1 1650.0000
1 1655.1724
1 1736.2637
1 1755.1020
1 1553.7190
1 1791.3043
1 1765.6250
1 1485.0299
2 1519.5531
2 1544.0415
2 1567.3077
2 1627.2727
3 1328.8136
3 1442.9530
3 1650.3497
4 1308.0808
4 1838.1877
4 1840.7080
5 1800.5249
5 1816.8675
6 1840.0000
7 1842.1053
7 1733.1023
8 1517.2414
9 1626.3441
10 1557.3770
11 1566.9882
12 1535.8166
13 1561.8375
15 1579.2039
16 1573.2156
18 1552.1797
20 1540.8468
22 1514.1183
24 1548.2912
26 1561.3079
29 1569.7674
32 1598.0015
35 1557.7513
39 1557.1384
43 1563.4719
47 1554.3062
52 1648.5954
57 204.9982
63 1841.6022
69 1840.7446
76 1848.5650
84 1842.8889
92 1821.3132
101 1826.9527
111 1793.9409
123 1606.0730
135 1776.2524
148 1652.5130
163 1831.9651
180 1816.4069
198 1763.8310
218 1818.5016
239 1809.4172
263 1581.2538
290 1506.3661
319 1516.6271
351 1776.1182
386 808.4898
424 1489.2662
467 1583.8297
514 1612.6645
565 1737.8403
622 1525.1686
684 1660.2786
752 1585.7336
827 1527.3754
910 1730.5426
1001 1705.8745
1102 1665.9698
1212 1690.9329
1333 1662.4556
1466 1728.0794
1613 1768.9494
1774 1762.7668
1952 1644.7613
2147 1735.6082
2362 1724.5852
2598 1640.4674
2858 1526.4082
3144 1595.4139
3458 1651.4544
3804 1548.1611
4184 1663.5216
4603 1641.7175
5063 1627.3804
5569 1483.0986
6126 1482.6685
6739 1589.1399
7413 1474.4309
8154 1179.7605
8970 1273.4738
9867 1140.8745
10853 1039.8756
11939 1030.1501
13133 1041.6822
14446 959.6134
